codigo_provincia,provincia,codigo_departamento,departamento,codigo_partido,partido,lista_interna,agrupacion,votos
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,8,PARTIDO FEDERAL,,8,396
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,68,NUEVA IZQUIERDA,,68,1486
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,187,AUTODETERMINACION Y LIBERTAD,,187,3673
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,234,MOVIMIENTO AL SOCIALISMO,,234,1249
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,324,PARTIDO FE,,324,532
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,325,MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION,,325,883
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,501,FRENTE PARA LA VICTORIA,,501,25826
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,503,UNION PRO,,503,36668
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,505,5069
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,506,CAMINO POPULAR,,506,2393
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3001,EL MOVIMIENTO,LISTA A - SEGURIDAD Y JUSTICIA PARA TODOS,262,1005
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3002,EL MOVIMIENTO,LISTA B - REAFIRMACION,262,96
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3003,EL MOVIMIENTO,LISTA C - RECUPERACION DEMOCRATICA,262,103
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3004,EL MOVIMIENTO,LISTA D - RENOVACION,262,404
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3005,UNEN,LISTA JUNTOS,502,5872
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3006,UNEN,LISTA SUMA MAS,502,11800
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3007,UNEN,LISTA COALICION SUR,502,20218
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3008,UNEN,LISTA PRESIDENTE ILLIA,502,1196
