codigo_partido,partido,lista_interna,agrupacion
2,PARTIDO JUSTICIALISTA,,2
3,UNION CIVICA RADICAL,,3
8,PARTIDO FEDERAL,,8
14,PARTIDO OBRERO,,14
22,PARTIDO HUMANISTA,,22
23,UNION POPULAR,,23
38,MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES (MST),,38
40,MOVIMIENTO LIBRES DEL SUR,,40
47,COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA (ARI),,47
50,PARTIDO SOCIALISTA,,50
54,PARTIDO DE LA VICTORIA,,54
60,MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD,,60
61,IZQUIERDA POR UNA OPCION SOCIALISTA,,61
63,ES POSIBLE,,63
64,PRO PROPUESTA REPUBLICANA,,64
68,NUEVA IZQUIERDA,,68
69,GEN,,69
150,DEMOCRATA INDEPENDIENTE,,150
151,PARTIDO INDEPENDIENTE DEL CHUBUT,,151
152,MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE,,152
153,MOVIMIENTO POPULAR NEUQUINO,,153
154,PARTIDO PROVINCIAL RIONEGRINO,,154
155,PARTIDO RENOVADOR DE SALTA,,155
156,CRUZADA RENOVADORA,,156
157,PARTIDO DE ACCION CHUBUTENSE,,157
158,MOVIMIENTO POPULAR FUEGUINO,,158
164,MOVIMIENTO DE INTEGRACION LATINOAMERICANA EXP.SOC,,164
166,UNION DE LOS NEUQUINOS,,166
168,PARTIDO DIGNIDAD CIUDADANA,,168
174,PARTIDO POPULAR,,174
179,PARTIDO CIUDADANOS A GOBERNAR,,179
180,SANTAFESINO CIEN POR CIENTO,,180
181,FUERZA REPUBLICANA,,181
182,PROYECTO SUR,,182
183,PARTIDO MOVIMIENTO AL SOCIALISMO,,183
184,PUEBLO NUEVO,,184
185,VOS CAMBIO Y ACCION,,185
186,LABORISTA DE LA INDEPENDENCIA,,186
187,AUTODETERMINACION Y LIBERTAD,,187
188,CAMBIO POPULAR TUCUMANO,,188
190,PARTIDO DE LOS TRABAJADORES SOCIALISTAS,,190
191,VECINALISMO INDEPENDIENTE,,191
199,ESPACIO DEMOCRATICO PARA LA VICTORIA,,199
200,MEMORIA Y MOVILIZACION SOCIAL,,200
201,MOVIMIENTO SOLIDARIO POPULAR,,201
203,SALTA SOMOS TODOS,,203
208,PARTIDO POR UN PUEBLO UNIDO,,208
216,FRENTE PLURAL,,216
217,ENCUENTRO VECINAL CORDOBA,,217
234,MOVIMIENTO AL SOCIALISMO,,234
262,EL MOVIMIENTO,,262
272,GENTE EN ACCION,,272
276,MOVIMIENTO AVANZADA SOCIALISTA,,276
324,PARTIDO FE,,324
325,MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION,,325
330,ACCION COMUNAL DEL PARTIDO DE TIGRE,,330
331,ACCION MARPLATENSE,,331
332,ACCION POR VILLARINO,,332
333,AGRUPACION ATLANTICA,,333
335,PRIMERO TRES LOMAS,,335
