codigo_provincia,codigo_departamento,codigo_circuito,codigo_mesa,codigo_partido,votos
1,1,1,1,9001,349
1,1,1,1,9002,250
1,1,1,1,9003,0
1,1,1,1,9004,5
1,1,1,1,9005,4
1,1,1,1,9006,0
1,1,1,1,8,1
1,1,1,1,68,6
1,1,1,1,187,6
1,1,1,1,3001,4
1,1,1,1,3002,0
1,1,1,1,3003,0
1,1,1,1,3004,1
1,1,1,1,234,3
1,1,1,1,324,0
1,1,1,1,325,0
1,1,1,1,501,60
1,1,1,1,3005,10
1,1,1,1,3006,23
1,1,1,1,3007,27
1,1,1,1,3008,0
1,1,1,1,503,67
1,1,1,1,3009,7
1,1,1,1,505,22
1,1,1,1,506,4
1,1,1,2,9001,350
1,1,1,2,9002,2
1,1,1,2,9003,0
1,1,1,2,9004,4
1,1,1,2,9005,4
1,1,1,2,9006,0
1,1,1,2,8,0
1,1,1,2,68,4
1,1,1,2,187,8
1,1,1,2,3001,2
1,1,1,2,3002,1
1,1,1,2,3003,0
1,1,1,2,3004,0
1,1,1,2,234,2
1,1,1,2,324,0
1,1,1,2,325,1
1,1,1,2,501,50
1,1,1,2,3005,11
1,1,1,2,3006,25
1,1,1,2,3007,24
1,1,1,2,3008,2
1,1,1,2,503,75
1,1,1,2,3009,8
1,1,1,2,505,13
1,1,1,2,506,12
1,1,1,3,9001,349
1,1,1,3,9002,256
1,1,1,3,9003,0
1,1,1,3,9004,4
1,1,1,3,9005,2
1,1,1,3,9006,0
1,1,1,3,8,2
1,1,1,3,68,10
1,1,1,3,187,6
1,1,1,3,3001,1
1,1,1,3,3002,0
1,1,1,3,3003,0
1,1,1,3,3004,0
1,1,1,3,234,3
1,1,1,3,324,0
1,1,1,3,325,2
1,1,1,3,501,74
1,1,1,3,3005,19
1,1,1,3,3006,22
1,1,1,3,3007,18
1,1,1,3,3008,1
1,1,1,3,503,63
1,1,1,3,3009,9
1,1,1,3,505,8
1,1,1,3,506,12
1,1,1,4,9001,350
1,1,1,4,9002,0
1,1,1,4,9003,0
1,1,1,4,9004,4
1,1,1,4,9005,5
1,1,1,4,9006,0
1,1,1,4,8,0
1,1,1,4,68,5
1,1,1,4,187,4
1,1,1,4,3001,3
1,1,1,4,3002,0
1,1,1,4,3003,0
1,1,1,4,3004,0
1,1,1,4,234,2
1,1,1,4,324,1
1,1,1,4,325,3
1,1,1,4,501,77
1,1,1,4,3005,14
1,1,1,4,3006,24
1,1,1,4,3007,32
1,1,1,4,3008,1
1,1,1,4,503,68
1,1,1,4,3009,2
1,1,1,4,505,13
1,1,1,4,506,7
1,1,1,5,9001,349
1,1,1,5,9002,234
1,1,1,5,9003,0
1,1,1,5,9004,5
1,1,1,5,9005,5
1,1,1,5,9006,0
1,1,1,5,8,1
1,1,1,5,68,3
1,1,1,5,187,3
1,1,1,5,3001,2
1,1,1,5,3002,0
1,1,1,5,3003,0
1,1,1,5,3004,0
1,1,1,5,234,2
1,1,1,5,324,0
1,1,1,5,325,1
1,1,1,5,501,64
1,1,1,5,3005,15
1,1,1,5,3006,18
1,1,1,5,3007,31
1,1,1,5,3008,1
1,1,1,5,503,64
1,1,1,5,3009,3
1,1,1,5,505,10
1,1,1,5,506,6
1,1,1,6,9001,349
1,1,1,6,9002,0
1,1,1,6,9003,0
1,1,1,6,9004,3
1,1,1,6,9005,4
1,1,1,6,9006,0
1,1,1,6,8,1
1,1,1,6,68,2
1,1,1,6,187,5
1,1,1,6,3001,1
1,1,1,6,3002,0
1,1,1,6,3003,0
1,1,1,6,3004,0
1,1,1,6,234,1
1,1,1,6,324,2
1,1,1,6,325,3
1,1,1,6,501,63
1,1,1,6,3005,18
1,1,1,6,3006,29
1,1,1,6,3007,29
1,1,1,6,3008,1
1,1,1,6,503,70
1,1,1,6,3009,4
1,1,1,6,505,11
1,1,1,6,506,5
1,1,1,7,9001,349
1,1,1,7,9002,250
1,1,1,7,9003,0
1,1,1,7,9004,8
1,1,1,7,9005,3
