codigo_provincia,provincia,codigo_departamento,departamento,codigo_partido,partido,lista_interna,agrupacion,votos
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,8,PARTIDO FEDERAL,,8,392
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,68,NUEVA IZQUIERDA,,68,1738
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,187,AUTODETERMINACION Y LIBERTAD,,187,2616
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,234,MOVIMIENTO AL SOCIALISMO,,234,1104
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,324,PARTIDO FE,,324,511
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,325,MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION,,325,930
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,501,FRENTE PARA LA VICTORIA,,501,26914
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,503,UNION PRO,,503,40602
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,505,4453
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,506,CAMINO POPULAR,,506,2685
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3001,EL MOVIMIENTO,LISTA A - SEGURIDAD Y JUSTICIA PARA TODOS,262,712
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3002,EL MOVIMIENTO,LISTA B - REAFIRMACION,262,96
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3003,EL MOVIMIENTO,LISTA C - RECUPERACION DEMOCRATICA,262,104
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3004,EL MOVIMIENTO,LISTA D - RENOVACION,262,433
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3005,UNEN,LISTA JUNTOS,502,9796
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3006,UNEN,LISTA SUMA MAS,502,10078
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3007,UNEN,LISTA COALICION SUR,502,15257
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3008,UNEN,LISTA PRESIDENTE ILLIA,502,841
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,3009,COMPROMISO FEDERAL,SIGLO 21 LETRA -A,504,2796
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,9001,ELECTORES,,9001,184562
1,CIUDAD AUTÓNOMA BS.AS.,1,Comuna 1,9002,VOTANTES,,9002,108425
